,m,s,k
0,-0.0001049477189371828,8.559829480660438e-06,1
1,0.06778377301990986,0.008183409805508374,2
2,0.11287040591239929,0.010487101342941918,3
3,0.15195691496133804,0.014323025355727827,4
4,0.18169532984495163,0.013711809947128036,5
5,0.21315276235342026,0.01862850636507376,6
6,0.24161548525094986,0.017402439626618443,7
7,0.2602821350097656,0.019794502761913555,8
8,0.28719899475574495,0.01974475009917596,9
9,0.3123429483175278,0.02393709876828693,10
10,0.33391948997974397,0.021220170638778627,11
11,0.3514899390935898,0.0222156887833849,12
12,0.3721171700954437,0.024739366930596016,13
13,0.39022157311439515,0.027854520263101885,14
14,0.40218533396720885,0.022269771666466053,15
15,0.4147572302818298,0.02615094853680983,16
16,0.42337997555732726,0.022412626313192217,17
17,0.43894006311893463,0.01857545033762323,18
18,0.4532073158025742,0.025498694119966307,19
19,0.4668073892593384,0.026086296657867738,20
20,0.488337721824646,0.025858400775962853,21
21,0.49057012498378755,0.025449257391609994,22
22,0.5006887650489807,0.023609346818170538,23
23,0.5159539622068405,0.025318704412079056,24
24,0.5170882159471512,0.02130143560225778,25
25,0.5272162425518035,0.02112331159261037,26
26,0.534694973230362,0.02567560514391773,27
27,0.5435567498207092,0.02101389467425235,28
28,0.5473402643203735,0.0266055826987628,29
29,0.5566232442855835,0.023354154908518672,30
30,0.5665520358085633,0.021703832928349747,31
31,0.5705572557449341,0.02323433100998967,32
32,0.5774522924423218,0.022700992194032286,33
33,0.5833471655845642,0.023811024037837074,34
34,0.5851612842082977,0.022829535156304055,35
35,0.5910960924625397,0.020082887084175487,36
36,0.5961323356628419,0.017364975262356967,37
37,0.6026992964744567,0.0229147274211882,38
38,0.6086553847789764,0.020884831196653665,39
39,0.6125707876682281,0.019022913182579503,40
40,0.6135035014152527,0.019182825719585423,41
41,0.6160158967971802,0.02087676431893343,42
42,0.6217304348945618,0.020457457108359157,43
43,0.625321341753006,0.024890305503124165,44
44,0.6272717726230621,0.019518272896366817,45
45,0.6297004342079162,0.021752165863605632,46
46,0.6367608571052551,0.022932291853934656,47
47,0.641336178779602,0.01807309101534559,48
48,0.6398629474639893,0.018850414064815184,49
49,0.6444458365440369,0.016433739735301177,50
50,0.6501186108589172,0.017113450818716024,51
51,0.6525953578948974,0.016029237888664193,52
52,0.6535777747631073,0.018546103728407263,53
53,0.6556056439876556,0.016293513746692825,54
54,0.6612961935997009,0.021218166211449226,55
55,0.6657796084880829,0.015349313625622942,56
56,0.6682305133342743,0.015976425436920173,57
57,0.6667648494243622,0.01707829737971576,58
58,0.671051903963089,0.018559329661042723,59
59,0.6736515700817108,0.014368601548001493,60
60,0.6779478788375854,0.01593496932049796,61
61,0.6747246503829956,0.016243083876519862,62
62,0.6758776891231537,0.01597893945417554,63
63,0.6814358127117157,0.017669695183429465,64
64,0.6823758137226105,0.016690397039598785,65
65,0.6827185392379761,0.014219888610749755,66
66,0.6839294397830963,0.0141790244063985,67
67,0.6878178942203522,0.013169916092993627,68
68,0.6873346185684204,0.011975228798743366,69
69,0.6905167400836945,0.015468942631185891,70
70,0.6940541684627533,0.01401630304037719,71
71,0.6939164435863495,0.012511997753891778,72
72,0.6921454036235809,0.017198321487083407,73
73,0.6972748947143554,0.01333316773830483,74
74,0.6987995982170105,0.012118166234121442,75
75,0.70024254322052,0.012139018102567565,76
76,0.6997246098518372,0.012280083318888585,77
77,0.7011954653263092,0.01277592216415006,78
78,0.6975353860855102,0.013649354865567027,79
79,0.7035675752162933,0.014271133740570761,80
80,0.7071519827842713,0.011902980560106517,81
81,0.706221628189087,0.011325489619250765,82
82,0.7090017378330231,0.012076590961215976,83
83,0.7078081965446472,0.014118048710842015,84
84,0.7104407000541687,0.011414012653115547,85
85,0.7105666244029999,0.012452153916405712,86
86,0.711109493970871,0.01306805579785719,87
87,0.7135538053512573,0.012000678919383298,88
88,0.7133759450912476,0.01068020731200007,89
89,0.7162549865245819,0.009492047487611194,90
90,0.7170979762077332,0.011334701415043258,91
91,0.7165049958229065,0.0098388960508951,92
92,0.7184681177139283,0.011766466920718881,93
93,0.7185959398746491,0.011413719155249382,94
94,0.7216172969341278,0.011934751724490962,95
95,0.7216244089603424,0.01387381062131509,96
96,0.7239774596691132,0.01099907774063217,97
97,0.7227388954162598,0.011002099132345587,98
98,0.7252966058254242,0.011274760704316593,99
