,m,s,k
0,-0.00010006694574258291,2.9263641270749926e-07,1
1,0.08348235964775086,0.0063071029837259325,2
2,0.14135426968336107,0.016166680306062338,3
3,0.1921116253733635,0.02070984620505946,4
4,0.23398841440677642,0.024273825263404585,5
5,0.27111375987529757,0.023523038181350056,6
6,0.3169910624623299,0.029311813392219485,7
7,0.3479077786207199,0.02570192372909871,8
8,0.3739194595813751,0.025237544988045663,9
9,0.401571968793869,0.0270082969545586,10
10,0.42165991544723513,0.02525692787147866,11
11,0.4513359296321869,0.02781448837457081,12
12,0.47368620097637176,0.028183571027946885,13
13,0.48325735092163086,0.025222462957331007,14
14,0.500419196486473,0.024298882119343005,15
15,0.5157645797729492,0.028050514069462098,16
16,0.5395400542020797,0.021065978010372625,17
17,0.561438969373703,0.028422935662877104,18
18,0.5676035070419312,0.023936358916127897,19
19,0.5940374088287353,0.026331599030963975,20
20,0.6093578696250915,0.02311312273848315,21
21,0.6172028744220733,0.02250936767287149,22
22,0.6302023768424988,0.019732198521306196,23
23,0.6359872496128083,0.021129762917324803,24
24,0.6499284636974335,0.022781927348375246,25
25,0.66072265625,0.021097740655300682,26
26,0.6653088402748107,0.023121846392171547,27
27,0.6783591198921204,0.021443581290329743,28
28,0.6792737793922424,0.022217200741729823,29
29,0.6904323506355285,0.01887482935399165,30
30,0.7023891365528107,0.01724755584538931,31
31,0.7038872861862182,0.02067154138913742,32
32,0.7084576880931854,0.02060332801925949,33
33,0.7099969255924224,0.018005207625861976,34
34,0.71462278008461,0.018947968993698702,35
35,0.720870110988617,0.017879571754977012,36
36,0.7232125580310822,0.017827049658949684,37
37,0.7266873943805695,0.014555709757068287,38
38,0.7315103030204773,0.01445650874836412,39
39,0.7377507698535919,0.012157763344904711,40
40,0.7346059691905975,0.01504803735905075,41
41,0.7400852048397064,0.01309389987393695,42
42,0.7428949642181396,0.013612000404407448,43
43,0.7404607903957366,0.013480422319660212,44
44,0.7437696480751037,0.015163823871902179,45
45,0.7476479852199555,0.014983455552002138,46
46,0.7507323265075684,0.011612023110462279,47
47,0.7520917046070099,0.012455948729998629,48
48,0.7548917579650879,0.011779661583324438,49
49,0.7571902549266816,0.007492614863420824,50
50,0.7574277913570404,0.011900284279914788,51
51,0.7591951215267181,0.009547923791785663,52
52,0.7578501617908477,0.011766002950124066,53
53,0.7627121841907502,0.008081328548580027,54
54,0.7639035725593567,0.008762737645892596,55
55,0.7669758296012879,0.008657689758390466,56
56,0.7670426833629608,0.007010613112371825,57
57,0.7692523241043091,0.006426933934587094,58
58,0.7708398652076721,0.0072669398129316465,59
59,0.7712079453468322,0.0051566142518926295,60
60,0.7706374931335449,0.008529224215144387,61
61,0.7739044737815857,0.0047242317701280115,62
62,0.7743286073207856,0.007982024391814219,63
63,0.7755921316146851,0.0069709611687335206,64
64,0.7769969940185547,0.006266265674082461,65
65,0.779505523443222,0.0043336491430286134,66
66,0.7795090425014496,0.004054028404162723,67
67,0.7803525483608246,0.004524999084154002,68
68,0.780331517457962,0.007265335988238132,69
69,0.7833408844470978,0.006145921259229268,70
70,0.7846752047538758,0.004836261811758433,71
71,0.7855156242847443,0.006426670085736461,72
72,0.7849944031238556,0.007017509527542998,73
73,0.7868137264251709,0.005614865993246002,74
74,0.7871534442901611,0.003932008473763334,75
75,0.7888156604766846,0.006420018661975112,76
76,0.7906287837028504,0.004439067620912171,77
77,0.7913995671272278,0.004905415328156431,78
78,0.7922228169441223,0.004430813531959177,79
79,0.7925921261310578,0.003806619021365156,80
80,0.7926783645153046,0.006316727904142593,81
81,0.7946050179004669,0.005132520352773355,82
82,0.7957715106010437,0.004144213692734858,83
83,0.7968715035915375,0.005105056211489638,84
84,0.797005478143692,0.004266306160243664,85
85,0.7979267609119415,0.004304337093967954,86
86,0.7989367020130157,0.0035808770495570586,87
87,0.7991744148731231,0.006371827171632474,88
88,0.8013832747936249,0.004951448251136151,89
89,0.8013294243812561,0.004048291340473608,90
90,0.8026086580753327,0.004023787116181082,91
91,0.8027402043342591,0.003458723315000907,92
92,0.8038296031951905,0.004092623189441023,93
93,0.8038911092281341,0.0037285542510747138,94
94,0.8051830184459686,0.0036843542801154676,95
95,0.8055401635169983,0.004186033393630159,96
96,0.8082895421981812,0.0041659980048863905,97
97,0.8081352353096009,0.003481614120889177,98
98,0.8083278942108154,0.003754737140701258,99
