,m,s,k
0,-0.00031046491698361934,3.0720002512466666e-08,1
1,0.37173532009124755,0.00981860794218371,2
2,0.5218977183103561,0.01424549698547515,3
3,0.6494985592365264,0.009878586702348341,4
4,0.7503314006328583,0.007944422710229436,5
5,0.8450186872482299,0.006852046032984627,6
6,0.9397973346710206,0.0030674902060875437,7
7,0.9425707948207855,0.0029161724476301073,8
8,0.9501015877723694,0.002626548395298386,9
9,0.9572658693790436,0.0026303015139694376,10
10,0.9630093336105346,0.002741644862384944,11
11,0.9681041026115418,0.002455468006707344,12
12,0.9710652089118957,0.001957996963650622,13
13,0.9736675703525544,0.0017096329462941465,14
14,0.9759357011318207,0.0018757800520296324,15
15,0.9776737594604492,0.0017544444859977834,16
16,0.9798100888729095,0.0014224456144156937,17
17,0.9814559161663056,0.0011897067501228998,18
18,0.9828726089000702,0.0011963806991365275,19
19,0.984427227973938,0.0010077557348831079,20
20,0.9856312596797943,0.0011439225448160836,21
21,0.9869472968578339,0.0010534918776066555,22
22,0.9879466640949249,0.0010913041562682288,23
23,0.9889820480346679,0.001036385913116978,24
24,0.989951114654541,0.0009529496514126899,25
25,0.990795475244522,0.0008995019664212459,26
26,0.9915875661373138,0.0008564337937058989,27
27,0.9922060430049896,0.0007941320574184642,28
28,0.9928916752338409,0.000803245221717125,29
29,0.9935354673862458,0.0007404887386567306,30
30,0.9941013634204865,0.0007147029425608753,31
31,0.9945689249038696,0.0006425941709566713,32
32,0.9950696706771851,0.0006429290807026482,33
33,0.9954809916019439,0.0006341287002319941,34
34,0.9958979344367981,0.0006399100741707846,35
35,0.9962257313728332,0.0005906021442390287,36
36,0.9966050338745117,0.000542613186782642,37
37,0.9968638861179352,0.0005440832252402144,38
38,0.9971108436584473,0.0005268317507109297,39
39,0.9973530876636505,0.00048068443080008337,40
40,0.9975888657569886,0.0004402063785336843,41
41,0.997794828414917,0.0004232549603095535,42
42,0.9979470419883728,0.00039064029973684135,43
43,0.9981089925765991,0.00039691706263232716,44
44,0.9982628214359284,0.00037815916212163397,45
45,0.9983955752849579,0.00037215177073876007,46
46,0.9985181844234466,0.00033015838927315174,47
47,0.9986415064334869,0.0003363759318902888,48
48,0.9987611162662506,0.00030756284294936986,49
49,0.9988607442378998,0.000293134838307627,50
50,0.9989581561088562,0.0002796336987308333,51
51,0.999057765007019,0.00027572648578092087,52
52,0.9991410541534423,0.00026872838358796167,53
53,0.9992260205745697,0.00025403725610156853,54
54,0.9993076813220978,0.00024729911741673734,55
55,0.9993865394592285,0.0002334943862298188,56
56,0.9994542956352234,0.00022130013314898312,57
57,0.9995197486877442,0.00021264618463326938,58
58,0.9995850169658661,0.00019422051329270193,59
59,0.9996441066265106,0.00017180037014346587,60
60,0.9996922326087951,0.00016595978345356757,61
61,0.999741040468216,0.00014604840076762782,62
62,0.99978391289711,0.0001299193212317373,63
63,0.9998209512233734,0.00011718417135369978,64
64,0.999853434562683,0.00010251910530862744,65
65,0.9998810577392578,8.996797918710015e-05,66
66,0.9999074721336365,7.299405065356436e-05,67
67,0.999927020072937,6.338488074525666e-05,68
68,0.9999443733692169,5.1787690095310754e-05,69
69,0.9999586486816406,4.176084248718874e-05,70
70,0.9999699878692627,3.428620867172275e-05,71
71,0.9999794518947601,2.6250672723789402e-05,72
72,0.9999864828586579,1.9874978348792916e-05,73
73,0.9999919211864472,1.528512839272514e-05,74
74,0.9999959242343902,1.2364537212515252e-05,75
75,0.9999978065490722,8.666441561609103e-06,76
76,0.9999986720085144,6.216041951791268e-06,77
77,0.9999990749359131,4.241543582046841e-06,78
78,0.9999995362758637,1.979997399433002e-06,79
79,0.9999999403953552,0.0,80
80,0.9999999403953552,0.0,81
81,0.9999999403953552,0.0,82
82,0.9999999403953552,0.0,83
83,0.9999999403953552,0.0,84
84,0.9999999403953552,0.0,85
85,0.9999999403953552,0.0,86
86,0.9999999403953552,0.0,87
87,0.9999999403953552,0.0,88
88,0.9999999403953552,0.0,89
89,0.9999999403953552,0.0,90
90,0.9999999403953552,0.0,91
91,0.9999999403953552,0.0,92
92,0.9999999403953552,0.0,93
93,0.9999999403953552,0.0,94
94,0.9999999403953552,0.0,95
95,0.9999999403953552,0.0,96
96,0.9999999403953552,0.0,97
97,0.9999999403953552,0.0,98
98,0.9999999403953552,0.0,99
